JOB DESCRIPTION,LINK
Senior Manager Financial Planning Analysis,https://in.indeed.com/Women-Career-Break-jobs?vjk=e52d28db7788a764
Software QA Engineer,https://in.indeed.com/jobs?q=Women+Career+Break&vjk=65b0a7f393e6caa1
Senior software Engineer,https://in.indeed.com/Women-Career-Break-jobs?vjk=7bb010a2e698ad37
Principal Software Engineer- Java,https://in.indeed.com/jobs?q=Women%20Career%20Break&vjk=fc40b08147796337
Quality Engineer - Returnship Program- job post,https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&l&vjk=effff478bf44076e
Project Manager,https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&l&vjk=403a3886681f3cdb
Software Engineer,https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&l&vjk=5a726758ccab209b
"Assistant Manager, Business Analyst",https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&start=10&vjk=90769a2d84ffcccc
CS Group Manager,https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&start=10&vjk=4a3574ef467d8041
"Manager/Sr Manager QE, Netskope Private Access",https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&start=10&vjk=db4e21bbb3fa5f01
CS Group Manager,https://in.indeed.com/jobs?q=Women%20Career%20Break%20quality&start=10&vjk=0266013ecb422604
Doctor nurses ,https://www.monster.com/career-advice/article/return-to-nursing
Doctor nurses ,https://www.thebalancecareers.com/how-to-change-careers-to-healthcare-1736058
Doctor nurses ,https://www.linkedin.com/posts/umesh-nandan-8a9220127_the-below-mentioned-job-requirement-is-closed-activity-6907588945480171520-IwdL?utm_source=linkedin_share&utm_medium=member_desktop_web
Project Managers,https://www.linkedin.com/posts/activity-6904378254464028672-y7tY?utm_source=linkedin_share&utm_medium=member_desktop_web
Data Engineer,https://www.linkedin.com/posts/meena-balaji-a4496878_opportunity-career-data-activity-6863664472939229184-oGqQ?utm_source=linkedin_share&utm_medium=member_desktop_web
Recruiter,https://www.linkedin.com/posts/mooneyalex_returnership-womenbacktowork-virtualevent-activity-6848349440915464192-EHLN?utm_source=linkedin_share&utm_medium=member_desktop_web
Recruiter,https://www.linkedin.com/posts/hemangi-merala-37331430_hiring-activity-6896314780114583552-5qLp?utm_source=linkedin_share&utm_medium=member_desktop_web
Project Manager,https://www.linkedin.com/posts/cathynaaman_gliderelaunch-returnship-talentdevelopment-activity-6805922095051141120-n8rq?utm_source=linkedin_share&utm_medium=member_desktop_web
CS Group Manager,https://www.linkedin.com/posts/cathynaaman_gliderelaunch-returnship-talentdevelopment-activity-6805922095051141120-n8rq?utm_source=linkedin_share&utm_medium=member_desktop_web
Doctor nurses ,https://www.linkedin.com/posts/cathynaaman_gliderelaunch-returnship-talentdevelopment-activity-6805922095051141120-n8rq?utm_source=linkedin_share&utm_medium=member_desktop_web
Project Managers,https://www.linkedin.com/posts/cathynaaman_gliderelaunch-returnship-talentdevelopment-activity-6805922095051141120-n8rq?utm_source=linkedin_share&utm_medium=member_desktop_web
Recruiter,https://www.linkedin.com/posts/cathynaaman_gliderelaunch-returnship-talentdevelopment-activity-6805922095051141120-n8rq?utm_source=linkedin_share&utm_medium=member_desktop_web
